x,y,z,q
5133,3107,23,71
5122,3108,58,74
5120,3101,64,73
5132,3103,32,69
5121,3100,45,73
5129,3108,31,70
5122,3108,41,72
5130,3114,25,70
5133,3108,22,71
5130,3100,23,71
5125,3108,29,71
5134,3124,24,70
5136,3120,23,71
5139,3114,24,71
5135,3108,16,71
5135,3113,23,71
5134,3114,23,71
5135,3118,17,70
5131,3103,19,72
5122,3098,38,73
5122,3096,33,71
5120,3108,43,72
5120,3102,40,71
5121,3108,28,70
5114,3101,34,72
5121,3111,37,71
5125,3110,27,70
5130,3101,23,71
5120,3117,38,72
5126,3120,15,69
5126,3114,19,71
5123,3108,22,71
5116,3104,28,72
5111,3105,38,72
5111,3104,53,73
5109,3103,55,72
5112,3114,55,71
5117,3113,39,70
5117,3113,45,72
5062,3108,178,87
5080,3109,140,71
5085,3110,122,72
5091,3113,101,71
5106,3117,68,70
5106,3115,74,73
5122,3108,50,70
5123,3116,47,71
5123,3110,50,72
5111,3105,56,73
5119,3102,43,71
5124,3102,38,71
5113,3099,48,73
5109,3096,48,72
5100,3095,66,73
5110,3103,64,72
5106,3107,75,73
5112,3110,68,71
5120,3107,55,71
5123,3112,42,70
5124,3112,37,71
5117,3108,65,74
5115,3102,68,72
5114,3095,59,72
5124,3096,26,69
5125,3088,21,71
5124,3095,16,71
5127,3099,9,70
5119,3094,35,73
5119,3099,41,72
5128,3112,34,70
5123,3112,38,72
5124,3110,35,71
5119,3111,38,72
5126,3108,36,71
5125,3104,35,71
5114,3102,48,73
5116,3089,58,73
5122,3100,44,70
5128,3101,27,70
5126,3097,22,71
5124,3096,29,72
5122,3095,51,73
5122,3095,39,71
5119,3097,46,72
5115,3096,58,73
5119,3093,59,72
5123,3103,51,71
5124,3100,43,71
5122,3094,41,72
5131,3100,29,70
5132,3105,32,71
5131,3106,19,70
5125,3104,21,71
5123,3103,16,71
5112,3101,21,72
5108,3095,50,74
5109,3099,40,71
5115,3098,57,73
5113,3093,58,72
5113,3100,58,72
5106,3097,74,73
5113,3093,72,72
5123,3104,49,70
5125,3105,37,71
5127,3103,32,71
5130,3111,20,70
5133,3106,11,70
5122,3097,23,72
5121,3099,25,71
5109,3100,48,73
5113,3098,45,71
5125,3101,38,71
5116,3102,40,72
5129,3102,22,70
5132,3107,17,70
5133,3109,18,71
5129,3109,23,71
5120,3105,51,74
5122,3111,47,71
5115,3111,56,72
5122,3119,45,70
